Date,Open,High,Low,Close,Adj Close,Volume
2016-09-23,5327.43,5329.71,5301.63,5305.75,5305.75,1761330000.0
2016-09-26,5275.73,5282.27,5254.96,5257.49,5257.49,1669520000.0
2016-09-27,5254.18,5306.81,5251.32,5305.71,5305.71,1751060000.0
2016-09-28,5312.73,5320.62,5284.84,5318.55,5318.55,1785470000.0
2016-09-29,5311.31,5317.0,5254.52,5269.15,5269.15,1941170000.0
2016-09-30,5288.87,5325.88,5277.88,5312.0,5312.0,2059800000.0
2016-10-03,5300.29,5308.6,5281.95,5300.87,5300.87,1604060000.0
2016-10-04,5313.49,5323.6,5271.7,5289.66,5289.66,1708990000.0
2016-10-05,5305.28,5330.81,5304.06,5316.02,5316.02,1753340000.0
2016-10-06,5306.59,5315.73,5281.47,5306.85,5306.85,1654020000.0
2016-10-07,5314.92,5315.65,5266.8,5292.4,5292.4,1646650000.0
2016-10-10,5318.46,5340.52,5317.73,5328.67,5328.67,1364150000.0
2016-10-11,5321.82,5321.82,5227.43,5246.79,5246.79,1821680000.0
2016-10-12,5247.91,5257.18,5228.77,5239.02,5239.02,1565940000.0
2016-10-13,5200.3,5228.26,5169.76,5213.33,5213.33,1735310000.0
2016-10-14,5241.26,5258.88,5213.37,5214.16,5214.16,1594480000.0
2016-10-17,5213.69,5219.98,5196.03,5199.82,5199.82,1424270000.0
2016-10-18,5255.32,5264.27,5239.44,5243.84,5243.84,1474430000.0
2016-10-19,5240.33,5253.83,5234.25,5246.41,5246.41,1546960000.0
2016-10-20,5238.2,5252.1,5216.05,5241.83,5241.83,1741820000.0
2016-10-21,5238.65,5259.13,5225.76,5257.4,5257.4,1649470000.0
2016-10-24,5290.31,5311.5,5289.23,5309.83,5309.83,1531970000.0
2016-10-25,5306.47,5310.27,5278.57,5283.4,5283.4,1579490000.0
2016-10-26,5256.4,5280.85,5237.05,5250.27,5250.27,1725900000.0
2016-10-27,5272.19,5274.12,5211.75,5215.97,5215.97,1918690000.0
2016-10-28,5203.7,5232.35,5178.76,5190.1,5190.1,1895970000.0
2016-10-31,5205.09,5206.71,5186.56,5189.14,5189.14,1707260000.0
2016-11-01,5199.77,5201.13,5112.32,5153.58,5153.58,1878650000.0
2016-11-02,5147.28,5156.7,5097.56,5105.57,5105.57,2105870000.0
2016-11-03,5104.7,5115.06,5053.52,5058.41,5058.41,2107720000.0
2016-11-04,5034.41,5087.51,5034.41,5046.37,5046.37,2015130000.0
2016-11-07,5128.99,5169.41,5122.77,5166.17,5166.17,1914310000.0
2016-11-08,5154.99,5214.17,5145.3,5193.49,5193.49,1736100000.0
2016-11-09,5143.86,5258.99,5143.86,5251.07,5251.07,2824560000.0
2016-11-10,5283.48,5302.68,5145.32,5208.8,5208.8,2984360000.0
2016-11-11,5191.82,5241.08,5179.64,5237.11,5237.11,2285050000.0
2016-11-14,5246.33,5247.17,5192.05,5218.4,5218.4,2369190000.0
2016-11-15,5241.35,5287.06,5236.25,5275.62,5275.62,2156500000.0
2016-11-16,5253.74,5299.63,5251.88,5294.58,5294.58,2057140000.0
2016-11-17,5295.07,5334.05,5288.16,5333.97,5333.97,2081760000.0
2016-11-18,5340.97,5346.8,5315.53,5321.51,5321.51,1858610000.0
